"","prolific_id","animacy_condtion","frame_content_condition","type","word_col","answers"
"1","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 1","DAXY","2"
"2","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 2","DAXY","2"
"3","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 3","DAXY","1"
"4","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 4","DAXY","2"
"5","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 1","WILPY","2"
"6","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 2","WILPY","2"
"7","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 3","WILPY","1"
"8","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 4","WILPY","1"
"9","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 1","BRISPY","2"
"10","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 2","BRISPY","2"
"11","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","BRISPY","1"
"12","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 3","BRISPY","2"
"13","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","BRISPY","1"
"14","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 4","BRISPY","2"
"15","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 1","SPOOVY","2"
"16","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"17","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 2","SPOOVY","2"
"18","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"19","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 3","SPOOVY","2"
"20","5dc635c5b1cdc24946d210e0","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"21","5dc635c5b1cdc24946d210e0","inanimate","lexical","Confidence 4","SPOOVY","3"
"22","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 1","DAXY","1"
"23","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","1"
"24","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 2","DAXY","2"
"25","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","1"
"26","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 3","DAXY","2"
"27","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","DAXY","1"
"28","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 4","DAXY","1"
"29","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 1","WILPY","1"
"30","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","WILPY","1"
"31","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 2","WILPY","2"
"32","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","WILPY","1"
"33","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 3","WILPY","3"
"34","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","WILPY","1"
"35","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 4","WILPY","4"
"36","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 1","BRISPY","1"
"37","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","BRISPY","1"
"38","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 2","BRISPY","1"
"39","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","BRISPY","1"
"40","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 3","BRISPY","4"
"41","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","BRISPY","1"
"42","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 4","BRISPY","4"
"43","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 1","SPOOVY","1"
"44","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"45","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 2","SPOOVY","2"
"46","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"47","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 3","SPOOVY","2"
"48","5f7f239e9b204e05b6c36538","inanimate","lexical","Emotion Adj?","SPOOVY","1"
"49","5f7f239e9b204e05b6c36538","inanimate","lexical","Confidence 4","SPOOVY","3"
"50","5f4a5983a08b215d74d2cd99","inanimate","lexical","Confidence 1","DAXY","1"
"51","5f4a5983a08b215d74d2cd99","inanimate","lexical","Emotion Adj?","DAXY","1"
"52","5f4a5983a08b215d74d2cd99","inanimate","lexical","Confidence 2","DAXY","2"
"53","5f4a5983a08b215d74d2cd99","inanimate","lexical","Emotion Adj?","DAXY","1"
